posicion,1,10a,10b,11,12-1,2,3,4,5,6-1,7a,7b,8,9A,9B,R
1,PINAR DE CHAMARTIN,PUERTA DEL SUR,TRES OLIVOS,LA FORTUNA,PUERTA DEL SUR,LAS ROSAS,VILLAVERDE ALTO,ARGÜELLES,CASA DE CAMPO,LAGUNA,ESTADIO OLIMPICO,HOSPITAL DEL HENARES,AEROPUERTO T4,PACO DE LUCIA,PUERTA DE ARGANDA,PRINCIPE PIO
2,BAMBU,JOAQUIN VILUMBRALES,MONTECARMELO,LA PESETA,PARQUE LISBOA,AVENIDA DE GUADALAJARA,SAN CRISTOBAL,SAN BERNARDO,CAMPAMENTO,CARPETANA,LAS MUSAS,HENARES,BARAJAS,MIRASIERRA,RIVAS URBANIZACIONES,OPERA
3,CHAMARTIN,CUATRO VIENTOS,LAS TABLAS,CARABANCHEL ALTO,ALCORCON CENTRAL,ALSACIA,VILLAVERDE BAJO CRUCE,BILBAO,EMPALME,OPORTO,SAN BLAS,JARAMA,AEROPUERTO T1 T2 T3,HERRERA ORIA,RIVAS FUTURA,
4,PLAZA DE CASTILLA,AVIACION ESPAÑOLA,RONDA DE LA COMUNICACION,SAN FRANCISCO,PARQUE OESTE,LA ALMUDENA,CIUDAD DE LOS ANGELES,ALONSO MARTINEZ,ALUCHE,OPAÑEL,SIMANCAS,SAN FERNANDO,CAMPO DE LAS NACIONES,BARRIO DEL PILAR,RIVAS VACIAMADRID,
5,VALDEACEDERAS,COLONIA JARDIN,LA GRANJA,PAN BENDITO,UNIVERSIDAD REY JUAN CARLOS,LA ELIPA,SAN FERMIN-ORCASUR,COLON,EUGENIA DE MONTIJO,PLAZA ELIPTICA,GARCIA NOBLEJAS,LA RAMBLA,MAR DE CRISTAL,VENTILLA,LA POVEDA,
6,TETUAN,CASA DE CAMPO,LA MORALEJA,ABRANTES,MOSTOLES CENTRAL,VENTAS,HOSPITAL 12 DE OCTUBRE,SERRANO,CARABANCHEL,USERA,ASCAO,COSLADA CENTRAL,PINAR DEL REY,PLAZA DE CASTILLA,ARGANDA DEL REY,
7,ESTRECHO,BATAN,MARQUES DE LA VALDAVIA,PLAZA ELIPTICA,PRADILLO,MANUEL BECERRA,ALMENDRALES,VELAZQUEZ,VISTA ALEGRE,LEGAZPI,PUEBLO NUEVO,BARRIO DEL PUERTO,COLOMBIA,DUQUE DE PASTRANA,,
8,ALVARADO,LAGO,MANUEL DE FALLA,,HOSPITAL DE MOSTOLES,GOYA,LEGAZPI,GOYA,OPORTO,ARGANZUELA-PLANETARIO,BARRIO DE LA CONCEPCION,ESTADIO OLIMPICO,NUEVOS MINISTERIOS,PIO XII,,
9,CUATRO CAMINOS,PRINCIPE PIO,BAUNATAL,,MANUELA MALASAÑA,PRINCIPE DE VERGARA,DELICIAS,LISTA,URGEL,MENDEZ ALVARO,PARQUE DE LAS AVENIDAS,,,COLOMBIA,,
10,RIOS ROSAS,PLAZA DE ESPAÑA,REYES CATOLICOS,,LORANCA,RETIRO,PALOS DE LA FRONTERA,DIEGO DE LEON,MARQUES DE VADILLO,PACIFICO,CARTAGENA,,,CONCHA ESPINA,,
